"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"WPFC USSDA B05",2373,205.23,264.41,25,"WA","Tacoma","USSDA U13","",""
"Seattle United USSDA B05",2134,104.37,99.16,21,"WA","Seattle","USSDA U13","",""
"Crossfire Premier USSDA B05",2116,132.14,69.43,23,"WA","Redmond","USSDA U13","",""
"PacNW USSDA B05",2108,181.52,47.83,23,"WA","Tukwila","USSDA U13","",""
"Portland Timbers USSDA B05",2105,112.97,74.91,23,"OR","","USSDA U13","",""
"Eastside FC USSDA B05",1975,90.96,37.87,20,"WA","Preston","USSDA U13","",""
"GS Surf USSDA B05",1935,68.14,38.32,14,"WA","Bothel","USSDA U13","",""
"WA Rush USSDA B05",1823,46.86,25.72,24,"WA","Everett","USSDA U13","",""
"Snohomish United USSDA B05",1713,20.68,27.11,28,"WA","Snohomish","USSDA U13","",""
"3 Rivers Black B05",1393,12.31,4.95,32,"WA","Pasco","RCL B05 Div 1","","WYS Championship B05"
"Crossfire Premier A B05",1382,13.14,4.3,35,"WA","Redmond","RCL B05 Div 1","","WYS Championship B05"
"Seattle United Copa B05",1344,7.44,5.82,30,"WA","Seattle","RCL B05 Div 1","","FWRL NW Fall B05, WYS Championship B05"
"PacNW Maroon B05",1323,8.99,4.18,38,"WA","Tukwila","RCL B05 Div 1","","FWRL NW Fall B05, WYS Championship B05"
"Bend FC Timbers Red B05",1309,5.81,5.88,31,"OR","Bend","PTT B05 Premier","Spr OYS B05 Premier Green",""
"Spokane Sounders A B05",1294,11.23,2.74,32,"WA","Spokane","RCL B05 Div 1","","FWRL NW Fall B05, WYS Championship B05"
"4-H FC Joga B05",1272,7.29,3.62,26,"OR","","PTT B05 Premier","Spr OYS B05 Premier Green",""
"GPS Oregon B05",1259,7.38,3.25,19,"OR","","PTT B05 Premier","Spr OYS B05 Premier Green",""
"LASC Cuervos B05",1238,6.3,3.31,43,"OR","NE Portland","PTT B05 Premier","Spr OYS B05 Premier Green",""
"Academia de Futebol ADF B05",1236,8.04,2.56,33,"OR","Portland","PTT B05 Premier","Spr OYS B05 Premier Green",""
"Washington East SC A B05",1220,4.37,4.21,37,"WA","Spokane","PSPL WNPL U13","Spr PSPL - '05 Super 1- East U13","WA Cup U13 Gold U13"
"ETFC Marseille Black B05",1217,5.58,3.22,32,"OR","Eugene","PTT B05 Premier","Spr OYS B05 Premier Green",""
"RVSC Timbers Red B05",1202,6.19,2.62,24,"OR","Medford","PTT B05 Premier","Spr OYS B05 Premier Green",""
"Eclipse FC Eclipse B05",1186,5.91,2.46,42,"WA","Beacon Hill","PSPL WNPL U13","Spr PSPL - '05 Super 1 - West U13","WA Cup U13 Gold U13"
"Tynecastle FC B05",1180,4.96,2.81,22,"WA","Everett","PSPL WNPL U13","","WA Cup U13 Gold U13"
"WPFC Black B05",1179,5.34,2.59,42,"WA","Tacoma","RCL B05 Div 1","","FWRL NW Fall B05, WYS Championship B05"
"Liga Tlaxtli FC Guerreros B05",1167,3.62,3.53,19,"WA","","PSPL Classic 3 - West U13","","WA Cup U13 Bronze U13"
"Wenatchee FC Black B05",1166,4.71,2.69,36,"WA","Wenatchee","PSPL WNPL U13","Spr PSPL - '05 Super 1- East U13","WA Cup U13 Gold U13"
"Southside SC Azul B05",1165,3.75,3.34,30,"OR","Tigard","PTT B05 Div 1 Green SE","Spr OYS B05 Premier White",""
"FC Salmon Creek White B05",1164,6.48,1.92,27,"WA","Salmon Creek","PTT B05 Premier","Spr OYS B05 Premier White",""
"NW United Black B05",1163,5.22,2.38,36,"WA","Burlington","RCL B05 Div 1","","WYS Championship B05"
"HSC Devils B05",1159,6.8,1.77,22,"OR","Hillsboro","PTT B05 Premier","Spr OYS B05 Premier White",""
"Seattle Celtic Green B05",1152,4.36,2.64,33,"WA","Seattle","PSPL WSPL 1 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Gold U13"
"Eastside FC White B05",1134,4.6,2.2,39,"WA","Preston","RCL B05 Div 1","","WYS Championship B05"
"Crossfire Premier B B05",1108,4.13,2.05,36,"WA","Redmond","RCL B05 Div 1","","WYS Championship B05"
"Sting SC Timbers Red B05",1102,3.48,2.32,43,"ID","Coeur D'Alene","PSPL WSPL 1 U13","Spr PSPL - '05 Super 1- East U13","WA Cup U13 Gold U13"
"LYS Red B05",1086,4.36,1.67,36,"OR","","PTT B05 Div 1 Green NW","Spr OYS B05 Premier White","OYS Presidents Cup B05"
"FC Portland Navy B05",1084,3.22,2.22,31,"OR","Portland","PTT B05 Premier","Spr OYS B05 Premier White",""
"CSC Storm Navy B05",1071,2.49,2.64,34,"OR","Corvallis","PTT B05 Div 1 White","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"Aguilas Seattle FC Lions B05",1067,3.66,1.75,10,"WA","","PSPL Classic 1 - West U13","",""
"BUSC Elite FC B05",1067,2.95,2.15,24,"OR","Klamath Falls","PTT B05 Div 1 Green NW","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"Emerald City FC Green B05",1064,4.19,1.49,26,"WA","Seattle","PSPL WSPL 2 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Gold U13"
"Spokane Pumas B05",1059,3.89,1.55,34,"WA","Spokane","PSPL WNPL U13","Spr PSPL - '05 Super 1- East U13","WA Cup U13 Gold U13"
"Kitsap Alliance FC Red B05",1057,2.67,2.23,29,"WA","Silverdale","RCL B05 Div 2","","WYS Presidents Cup B05 Div 1"
"WUFC Gold B05",1057,2.97,2,35,"OR","","PTT B05 Div 1 Green SE","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"ISC Gunners A B05",1053,2.77,2.09,37,"WA","Issaquah","PSPL WSPL 1 U13","Spr PSPL - '05 Super 1 - West U13","WA Cup U13 Gold U13"
"Seattle United Tango B05",1044,4.52,1.2,38,"WA","Seattle","RCL B05 Div 2","","WYS Presidents Cup B05 Div 1"
"NSC Sharks Green B05",1042,1.93,2.77,33,"WA","Woodinvile","NPSL DIVISION 1 (05) U13","Spr NPSL (05) Div 1 U13","Founders Cup B05 Div A"
"FWFC Blue B05",1040,3.23,1.64,23,"WA","Federal Way","RCL B05 Div 3","","WYS Presidents Cup B05 Div 2"
"PacNW Blue B05",1032,3.38,1.48,35,"WA","Tukwila","RCL B05 Div 2","","WYS Presidents Cup B05 Div 1"
"Impact FC Black B05",1029,3.69,1.32,32,"WA","Renton","PSPL WSPL 1 U13","Spr PSPL - '05 Super 1 - West U13","WA Cup U13 Gold U13"
"David Douglas Piamonte B05",1029,4.37,1.12,32,"OR","","PTT B05 Div 1 Green NW","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"Whatcom Rangers Gold B05",1022,3.42,1.36,32,"WA","Bellingham","RCL B05 Div 3","","WYS Championship B05"
"3 Rivers White B05",1018,2.46,1.83,30,"WA","Pasco","PSPL Copa 1 - East Red U13","Spr PSPL EWA - '05 Classic 1 - East U13",""
"Blackhills FC Black B05",1010,2.91,1.47,32,"WA","Olympia","RCL B05 Div 2","","WYS Presidents Cup B05 Div 1"
"SESC Kings Blue B05",1007,3.47,1.21,30,"OR","Portland","PTT B05 Div 1 Green NW","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"Crossfire Premier C B05",1004,3.07,1.34,33,"WA","Redmond","RCL B05 Div 2","","WYS Presidents Cup B05 Div 1"
"Crossfire Yakima A B05",1002,2.55,1.59,24,"WA","Yakima","RCL B05 Div 3","","WYS Presidents Cup B05 Div 2"
"Tri-Cities Nacional B05",997,3.24,1.21,27,"WA","","PSPL Copa 1 - East Blue U13","Spr PSPL - '05 Super 1- East U13","WA Cup U13 Silver U13"
"NEU White B05",993,2.63,1.45,28,"OR","Portland","PTT B05 Div 1 White","Spr OYS B05 Div 1 White","OYS Presidents Cup B05"
"Crossfire Select Pratt B05",990,2.29,1.63,27,"WA","Redmond","NPSL DIVISION 1 (05) U13","","Founders Cup B05 Div A"
"NPSA Titans Navy B05",984,2.63,1.36,35,"WA","Bellevue","PSPL WSPL 2 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Gold U13"
"Aloha United Atletico Black B05",976,2.48,1.36,32,"OR","Beaverton","PTT B05 Div 1 White","Spr OYS B05 Div 1 White","OYS Presidents Cup B05"
"ETFC Marseille Red B05",975,3.06,1.1,37,"OR","Eugene","PTT B05 Div 1 White","Spr OYS B05 Div 1 White","OYS Presidents Cup B05"
"PCU Red 1 B05",975,3.27,1.03,19,"OR","Portland","PTT B05 Div 1 White","Spr OYS B05 Div 1 White",""
"Eclipse FC Aguilitos del America B05",974,3.88,0.86,18,"WA","","PSPL Classic 1 - West U13","Spr PSPL - '05 Super 1 - West U13",""
"FC Spokane Cooper B05",968,3.85,0.84,28,"WA","Spokane","PSPL WSPL 1 U13","Spr PSPL - '05 Super 1- East U13",""
"4-H Cosmos B05",968,3,1.07,25,"OR","","PTT B05 Div 1 Green SE","Spr OYS B05 Div 1 Green",""
"Kent City Red B05",951,3.7,0.77,28,"WA","Kent","PSPL WSPL 1 U13","Spr PSPL - '05 Super 1 - West U13","WA Cup U13 Gold U13"
"KVJSA Ellensburg FC B05",936,1.84,1.39,15,"WA","Ellensburg","PSPL Copa 2 - East U13","Spr PSPL EWA - '05 Copa 2 - East U13",""
"Nortac Hounds B05",930,1.71,1.44,11,"WA","Tacoma","SSUL B05 14 Div 2","",""
"4-H McMinnville United B05",927,2.8,0.86,16,"OR","","PTT B05 Div 1 Green SE","","OYS Presidents Cup B05"
"Eastside FC Blue B05",924,1.96,1.21,37,"WA","Preston","RCL B05 Div 2","","WYS Presidents Cup B05 Div 2"
"WPFC White B05",920,1.96,1.17,38,"WA","Tacoma","RCL B05 Div 3","","WYS Presidents Cup B05 Div 1"
"Pumas UNAM B05",916,2.65,0.84,32,"WA","Seattle","PSPL Classic 1 - West U13","Spr PSPL - '05 Classic 1 - West U13","WA Cup U13 Silver U13"
"GS Surf A B05",910,2.16,0.99,37,"WA","Bothel","RCL B05 Div 2","","WYS Presidents Cup B05 Div 2"
"Wenatchee Valley United Rosa B05",910,2.4,0.89,22,"WA","Wenatchee","PSPL Copa 1 - East Blue U13","Spr PSPL EWA - '05 Classic 1 - East U13",""
"Spokane Sounders B B05",909,1.93,1.1,28,"WA","Spokane","RCL B05 Div 3","","WYS Presidents Cup B05 Div 2"
"Whatcom Rangers Blue B05",904,2.21,0.93,33,"WA","Bellingham","RCL B05 Div 4","","WYS Presidents Cup B05 Div 1"
"LYS Black B05",903,2,1.02,27,"OR","","PTT B05 Div 1 White","Spr OYS B05 Div 1 Green","OYS Founders Cup B05"
"Washington Timbers Red 2 B05",898,1.74,1.13,27,"WA","Vancouver","PTT B05 Premier","Spr OYS B05 Premier White","WYS Presidents Cup B05 Div 2"
"RSA Elite B05",892,1.97,0.96,38,"WA","Puyallup","PSPL WSPL 2 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Silver U13"
"Foothills SC Celtic Green B05",890,1.63,1.14,29,"OR","Portland","PTT B05 Div 1 Green NW","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"Nortac Sparta Red B05",888,1.53,1.2,28,"WA","Tacoma","PSPL Classic 1 - West U13","Spr PSPL - '05 Classic 1 - West U13","WA Cup U13 Silver U13"
"Breakers Black B05",887,2.21,0.83,36,"WA","Spokane","PSPL WNPL U13","Spr PSPL EWA - '05 Classic 1 - East U13",""
"Highline Premier Heat Blue B05",882,2.05,0.86,30,"WA","Burien","PSPL WSPL 2 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Silver U13"
"Westside Timbers Copa B05",877,1.74,0.98,44,"OR","Beaverton","PTT B05 Premier","Spr OYS B05 Premier White",""
"BSC HR Black B05",876,1.88,0.9,21,"OR","Portland","PTT B05 Div 1 Green SE","Spr OYS B05 Div 1 Green",""
"Nortac Colibri B05",873,2.26,0.74,27,"WA","Tacoma","NPSL DIVISION 1 (05) U13","Spr NPSL (05) Div 1 U13",""
"WUSC White B05",862,1.68,0.91,23,"OR","Willamette","PTT B05 Div 1 White","","OYS Presidents Cup B05"
"Oregon Trail SC Strikers B05",862,2.72,0.56,25,"OR","","PTT B05 Div 2 White SE","Spr OYS B05 Div 2 Green M","OYS Presidents Cup B05"
"HSC Boca Jrs B05",861,1.54,0.99,30,"OR","Hillsboro","PTT B05 Div 1 White","Spr OYS B05 Div 1 White","OYS Founders Cup B05"
"FC Portland White B05",856,1.52,0.98,33,"OR","Portland","PTT B05 Div 1 Green NW","Spr OYS B05 Div 2 Green M","OYS Presidents Cup B05"
"BIFC Blue B05",850,1.9,0.75,30,"WA","Bainbridge Island","NPSL DIVISION 2 (05) U13","Spr NPSL (05) Div 1 U13","Founders Cup B05 Div A"
"FC Edmonds Tsunami B05",846,1.4,0.98,31,"WA","Edmonds","PSPL Classic 2 - West U13","Spr PSPL - '05 Classic 2 - West U13","WA Cup U13 Bronze U13"
"WUFC White B05",841,1.91,0.7,12,"OR","","","Spr OYS B05 Div 1 White",""
"LSDSC United White B05",838,1.65,0.79,11,"WA","","SSUL B05 14 Div 2","",""
"Washington Timbers White 1 B05",837,1.65,0.78,35,"WA","Vancouver","PTT B05 Div 1 White","Spr OYS B05 Div 1 Green","OYS Presidents Cup B05"
"PacNW White B05",836,1.75,0.73,41,"WA","Tukwila","RCL B05 Div 4","","WYS Presidents Cup B05 Div 2"
"Fuerza FC Academy B05",827,1.24,0.97,26,"WA","Marysville","PSPL Copa 1 - West U13","Spr PSPL - '05 Classic 3 - West U13","WA Cup U13 Bronze U13"
"GS Surf B B05",824,2.07,0.57,32,"WA","Bothel","RCL B05 Div 3","","WYS Presidents Cup B05 Div 2"
"Seattle Celtic White B05",818,1.82,0.62,25,"WA","Seattle","PSPL Classic 2 - West U13","Spr PSPL - '05 Classic 2 - West U13","WA Cup U13 Bronze U13"
"MVP Rapids Navy B05",817,1.47,0.76,28,"WA","Maple Valley","PSPL Classic 1 - West U13","Spr PSPL - '04 Classic 2 - West U14",""
"Hawks SC B05",814,1.58,0.7,22,"WA","Pullman","PSPL Copa 1 - East Blue U13","Spr PSPL EWA - '05 Classic 1 - East U13",""
"LOSC Green I B05",813,1.21,0.9,24,"OR","Lake Oswego","PTT B05 Div 1 White","Spr OYS B05 Div 1 White","OYS Presidents Cup B05"
"Seattle United Shoreline Blue B05",810,1.4,0.77,40,"WA","Shoreline","NPSL DIVISION 2 (05) U13","Spr NPSL (05) Div 1 U13","Founders Cup B05 Div A"
"LWPFC White Arapaimas B05",801,1.67,0.6,33,"WA","Redmond","PSPL Classic 2 - West U13","Spr PSPL - '05 Classic 1 - West U13","WA Cup U13 Silver U13"
"PSA Force Black B05",795,1.09,0.89,26,"WA","Marysville","NPSL DIVISION 2 (05) U13","Spr NPSL (05) Div 2 U13",""
"TC United Navy B05",791,1.11,0.85,25,"WA","Lacey","PSPL WSPL 2 U13","Spr PSPL - '05 Super 2 - West U13","WA Cup U13 Silver U13"
"ISC Gunners B B05",791,1.2,0.78,32,"WA","Issaquah","PSPL Classic 1 - West U13","Spr PSPL - '05 Classic 1 - West U13","WA Cup U13 Silver U13"
"Endeavor SA B05",791,1.06,0.88,10,"WA","","","","WA Cup U13 Gold U13"
"Harbor Premier Green B05",790,1.97,0.48,28,"WA","Gig Harbor","RCL B05 Div 3","","WYS Presidents Cup B05 Div 2"
"Crossfire Select Zlateff B05",786,1.14,0.79,31,"WA","Redmond","NPSL DIVISION 1 (05) U13","","Founders Cup B05 Div A"
"Seattle United W Blue B05",776,1.61,0.53,31,"WA","Seattle","NPSL DIVISION 1 (05) U13","Spr NPSL (05) Div 1 U13","Founders Cup B05 Div A"
"Timber Barons B05",761,1.36,0.56,28,"WA","Longview","PTT B05 Div 1 White","Spr OYS B05 Div 2 White",""
