"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"FC Portland Navy B00",2199,146.07,111.54,37,"OR","Portland","","PTT Win B99 Premier",""
"Seattle United Copa B00",2157,157.43,77.35,32,"WA","Seattle","RCL B00 Div 1","","FWRL NW B00, WYS Championship B00"
"WPFC Black B00",2139,134.53,80.04,41,"WA","Tacoma","RCL B00 Div 1","","FWRL NW B00, WYS Championship B00"
"Eastside FC Red B00",2081,114.17,62.92,28,"WA","Preston","RCL B00 Div 1","","FWRL NW B00, WYS Championship B00"
"Crossfire Premier B B00",2046,90.35,62.56,31,"WA","Redmond","RCL B00 Div 1","","WYS Championship B00"
"Boise Nationals Timbers Blue B00",2046,119.04,47.39,20,"ID","Boise","","","FWRL NW B00"
"GS Surf A B00",2030,72.58,69.59,27,"WA","Bothel","RCL B00 Div 1","","FWRL NW B00"
"Crossfire Premier A B00",2018,71.34,64.97,46,"WA","Redmond","RCL B00 Div 1","","WYS Championship B00"
"Seattle United Tango B00",1985,87.16,42.38,25,"WA","Seattle","RCL B00 Div 2","","WYS Championship B00"
"ETFC Rovers Black B00",1965,63.93,50.45,31,"OR","Eugene","","PTT Win B99 Premier",""
"Central WA SA Grey B00",1963,87.63,36.11,19,"WA","Yakima","PSPL WNPL U18","","WA Cup Gold U18"
"Academia de Futebol ADF B00",1949,48.36,59.32,34,"OR","Portland","","PTT Win B00 Premier",""
"Kitsap Alliance FC Red B00",1945,51.17,54.57,38,"WA","Silverdale","RCL B00 Div 2","","WYS Championship B00"
"PacNW Maroon B00",1943,78.57,35.04,31,"WA","Tukwila","RCL B00 Div 1","","FWRL NW B00, WYS Championship B00"
"WPFC White B00",1902,53.55,38.7,46,"WA","Tacoma","RCL B00 Div 2","","WYS Presidents Cup B00 Div 1"
"Westside Timbers Copa B00",1897,59.6,33.65,28,"OR","Beaverton","","PTT Win B00 Premier","FWRL NW B00"
"CGA Academy SC Elite B00",1878,67.17,26.13,11,"ID","","","",""
"FPSC Fury Black B00",1874,47.65,35.86,39,"WA","Tacoma","PSPL WNPL U18","","WA Cup Gold U18"
"Crossfire Select Button B00",1855,41.73,35.9,41,"WA","Redmond","RCL B00 Div 3","","WYS Presidents Cup B00 Div 1"
"PacNW Blue B00",1848,39.11,36.59,36,"WA","Tukwila","RCL B00 Div 2","","WYS Presidents Cup B00 Div 1"
"Crossfire Select Cantrell B00",1843,39.43,35.04,32,"WA","Redmond","NPSL DIVISION 1 (00) U18","","Founders Cup B99 Div A"
"NSC Impact B00",1838,34.88,38.25,29,"WA","Woodinvile","NPSL DIVISION 1 (00) U18","","Founders Cup B99 Div A"
"Eastside FC White B00",1834,40.05,32.47,29,"WA","Preston","RCL B00 Div 2","","WYS Presidents Cup B00 Div 1"
"Crossfire Yakima A B00",1826,72.36,16.91,24,"WA","Yakima","RCL B00 Div 2","","WYS Presidents Cup B00 Div 1"
"PCU Red B00",1822,35.7,33.53,54,"OR","Portland","","PTT Win B00 Premier",""
"Kent United Green B00",1822,38.42,31,41,"WA","Kent","RCL B00 Div 2","","WYS Presidents Cup B00 Div 1"
"Academia Leon B00",1816,46.97,24.39,25,"OR","Beaverton","PTT B00 BHS","",""
"FC Portland White B00",1813,27.89,40.32,37,"OR","Portland","","PTT Win B00 Premier",""
"Seattle United Samba B00",1811,48.37,22.91,34,"WA","Seattle","RCL B00 Div 3","","WYS Presidents Cup B00 Div 1"
"FC Salmon Creek Juventus B00",1810,39.73,27.64,36,"WA","Salmon Creek","PSPL WNPL U18","","WA Cup Gold U18"
"FC Edmonds Fury B00",1799,42.63,23.8,22,"WA","Edmonds","PSPL Classic West U18","","WA Cup Silver U18"
"FWFC Blue B00",1792,30.53,31.71,33,"WA","Federal Way","RCL B00 Div 3","","WYS Presidents Cup B00 Div 1"
"NW United Black B00",1783,35.14,25.85,25,"WA","Burlington","RCL B00 Div 3","","WYS Presidents Cup B00 Div 1"
"Boise Nationals Timbers Red B00",1779,49.29,17.93,22,"ID","Boise","","",""
"ASE Emerald B00",1777,43.84,19.89,20,"WA","Pasco","PSPL WNPL U18","",""
"FC Salmon Creek Blue B00",1776,43.14,20.1,21,"WA","Salmon Creek","PTT B00 BHS","","Founders Cup B99 Div A"
"BSC Portland Black B00",1775,47.43,18.13,22,"OR","Portland","","PTT Win B00 Premier",""
"WA Rush B00",1775,34.54,24.87,31,"WA","Everett","RCL B00 Div 1","","WYS Championship B00"
"Fuerza FC Academy B00",1770,42.08,19.82,36,"WA","Marysville","PSPL WSPL 1 U18","","WA Cup Gold U18"
"ISC Gunners A B00",1762,30.35,25.9,15,"WA","Issaquah","","","WA Cup Gold U18"
"RVSC Timbers Red B00",1761,27.74,28.22,18,"OR","Medford","","PTT Win B00 Premier",""
"Seattle United S Black B00",1754,36.8,20.25,31,"WA","Seattle","NPSL DIVISION 1 (00) U18","","WYS Presidents Cup B00 19 Div 2"
"Emerald City FC Green B00",1748,27.17,26.23,23,"WA","Seattle","PSPL WSPL 1 U18","",""
"PCSC Cosmos B00",1745,36.91,18.89,15,"WA","Tacoma","PSPL WNPL U18","",""
"HSC Penerol B00",1733,41.45,15.57,14,"OR","","","PTT Win B00 Premier",""
"Crossfire Premier C B00",1723,32.15,18.71,30,"WA","Redmond","RCL B00 Div 3","","WYS Presidents Cup B00 Div 1"
"Thelo Atlas B00",1722,24.9,23.91,25,"OR","Milwaukie","","PTT Win B00 Premier",""
"Pumas UNAM B00",1711,27.48,20.15,13,"WA","Seattle","PSPL WSPL 2 U18","",""
"Washington East SC B00",1707,24.25,22.19,29,"WA","Spokane","PSPL WSPL 1 U18","",""
"Highline Premier Heat Blue B00",1705,29.16,18.18,27,"WA","Burien","PSPL WNPL U18","","WA Cup Gold U18"
"RSA Elite B00",1703,22.26,23.49,31,"WA","Puyallup","PSPL WSPL 2 U18","","WA Cup Gold U18"
"Seattle United W Blue B00",1692,31.9,15.14,27,"WA","Seattle","NPSL DIVISION 1 (00) U18","","Founders Cup B99 Div A"
"Salem Chelsea B00",1691,33.6,14.33,18,"OR","Salem","","PTT Win B00 Premier",""
"Gala FC B00",1688,30.39,15.53,20,"WA","Marysville","PSPL WSPL 2 U18","",""
"Harbor Premier Green B00",1687,32.05,14.63,33,"WA","Gig Harbor","RCL B00 Div 3","","WYS Presidents Cup B00 19 Div 2"
"Westside Timbers Samba B00",1685,20.49,22.48,24,"OR","Beaverton","","PTT Win B00 Premier",""
"WPFC Navy B00",1683,26.05,17.47,34,"WA","Tacoma","RCL B00 Div 3","","WYS Presidents Cup B00 19 Div 2"
"Eastside FC Blue B00",1681,23.61,19.02,22,"WA","Preston","RCL B00 Div 3","","WYS Presidents Cup B00 19 Div 2"
"Santos FC Beavers B00",1676,38.13,11.37,14,"OR","Hubbard","","PTT Win B00 Premier",""
"Slammers Orange B00",1656,26.63,14.17,20,"WA","Auburn","RCL B00 Div 2","",""
"Pacific FC United B00",1652,19.68,18.7,29,"WA","Battle Ground","PSPL WSPL 1 U18","","WA Cup Gold U18"
