"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Eastside FC Red G06",1162,5.24,2.35,33,"WA","Preston","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"WPFC Black G06",1114,2.6,3.4,51,"WA","Tacoma","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","NWCL 06, WYS Presidents Cup G06 Div 1"
"Crossfire Premier A G06",1054,2.86,2.03,43,"WA","Redmond","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","NWCL 06, WYS Presidents Cup G06 Div 1"
"Seattle United Copa G06",1043,3.77,1.43,34,"WA","Seattle","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"Spokane Sounders A Valley G06",1001,1.47,2.74,33,"WA","Spokane","IPL West U11, IPL East U11, IPL East U12","","NWCL 06, WA Cup U11 Gold U11, WYS Presidents Cup G06 Div 1"
"FWFC Blue G06",995,1.73,2.23,34,"WA","Federal Way","RCL G06 Div 1 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"Crossfire OR WUSC White G06",978,1.27,2.71,43,"OR","West Linn","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"Westside Timbers Copa TS G06",928,1.45,1.67,45,"OR","Beaverton","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"ISC Gunners A G06",917,1.57,1.43,43,"WA","Issaquah","PSPL WSPL 1 U11","Spr PSPL Classic 1 U12","NWCL 06, WA Cup U11 Gold U11"
"Seattle United Tango G06",907,1.27,1.66,41,"WA","Seattle","RCL G06 Div 2 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"FC Portland Navy G06",903,1.67,1.22,42,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","NWCL 06, OYS State Cup G06"
"GS Surf A G06",877,1.75,0.97,35,"WA","Bothel","RCL G06 Div 1 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Eastside FC White G06",857,1.16,1.28,39,"WA","Preston","RCL G06 Div 2 9Aside","Win RCL G06 Div 1","WYS Presidents Cup G06 Div 1"
"Seattle Celtic Green G06",855,1.31,1.12,31,"WA","Seattle","PSPL WSPL 1 U11","Spr PSPL SuperLeague U11",""
"PacNW Maroon G06",846,1.69,0.81,44,"WA","Tukwila","RCL G06 Div 1 9Aside","Win RCL G06 Div 2","WYS Presidents Cup G06 Div 1"
"Crossfire OR CUSC Cosmos G06",796,0.95,1.03,31,"OR","Clackamas","PTT G06 Premier","",""
"PCU Red G06",795,1.33,0.72,38,"OR","Portland","PTT G06 Premier","Spr OYS G06 Premier","OYS State Cup G06"
"ASE Emerald G06",791,1.25,0.75,30,"WA","Pasco","PSPL WSPL 1 U11","Spr PSPL-Inland Copa Classic U12","WA Cup U11 Gold U11"
