"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"PacNW Maroon G99",2032,86.15,59.52,14,"WA","Tukwila","RCL G99 Div 1","","FWRL NW G99"
"Crossfire Premier ECNL G99",2024,90.09,53.86,8,"WA","Redmond","","ECNL U18/19",""
"Eastside FC Reign 2 G99",1939,62.78,42.65,15,"WA","Preston","RCL G99 Div 1","","FWRL NW G99"
"Rogue Valley Timbers Red Velocity G99",1910,43.99,49.73,10,"OR","Medford","","PTT Win G99 Premier",""
"ISC Gunners A G99",1872,55.91,30.23,17,"WA","Issaquah","","",""
"GS Surf A G99",1839,39.74,33.69,13,"WA","Bothel","RCL G99 Div 2","","FWRL NW G99"
"Westside Timbers Copa TS G99",1837,22.89,57.66,12,"OR","Beaverton","","PTT Win G99 Premier",""
"PacNW Blue G99",1791,28.55,33.65,19,"WA","Tukwila","RCL G99 Div 3","",""
"Whatcom FC Rangers Gold G99",1762,39.61,19.87,17,"WA","Bellingham","RCL G99 Div 2","",""
"WA Rush G99",1747,34.83,20.43,17,"WA","Everett","RCL G99 Div 2","",""
"Crossfire Select Pfeifer G99",1741,28.08,24.31,12,"WA","Redmond","NPSL Div 1 (99) U19","",""
"ETFC Athletica Black G99",1740,33.47,20.21,13,"OR","Eugene","","PTT Win G99 Premier","FWRL NW G99"
"WPFC Black G99",1735,36.21,18.01,21,"WA","Tacoma","RCL G99 Div 2","","FWRL NW G99"
"Harbor Premier Green G99",1723,25.67,23.32,19,"WA","Gig Harbor","RCL G99 Div 2","",""
"CWSA Navy G99",1712,23.95,23.24,10,"WA","Yakima","PSPL WSPL 1 U19","",""
"FC Salmon Creek Nemesis White G99",1709,34.45,15.83,22,"WA","Salmon Creek","","PTT Win G99 Premier",""
"MRFC Blue G99",1694,22.75,21.59,16,"WA","Bonney Lake","PSPL WNPL U19","",""
"Eastside FC Red G99",1680,31.58,14.15,12,"WA","Preston","RCL G99 Div 2","","FWRL NW G99"
"Bend FC Timbers Red G99",1674,22.48,19.04,10,"OR","Bend","","PTT Win G99 Premier",""
"Eastside Timbers Red G99",1659,24.25,15.89,14,"OR","Gresham","","PTT Win G99 Premier",""
"Washington Timbers Red 1 G99",1653,21.33,17.33,27,"WA","Vancouver","","PTT Win G99 Premier",""
"Crossfire Select Mallalieu G99",1648,16.1,22.13,20,"WA","Redmond","NPSL Div 1 (99) U19","",""
"BIFC Blue G99",1616,19.69,14.53,16,"WA","Bainbridge","NPSL Div 1 (99) U19","",""
"Spokane Sounders A G99",1602,22.16,11.7,11,"WA","Spokane","RCL G99 Div 2","","FWRL NW G99"
"Crossfire Premier A G99",1594,14.23,17.24,17,"WA","Redmond","RCL G99 Div 2","",""
"Blackhills FC Black G99",1591,20.29,11.89,22,"WA","Olympia","RCL G99 Div 3","",""
"Thelo Chaos G99",1582,16.38,13.76,24,"OR","Milwaukie","","PTT Win G99 Premier",""
"Three Rivers SC Black G99",1569,11.18,18.49,10,"WA","Pasco","RCL G99 Div 2","",""
"Seattle United W Blue G99",1566,13.05,15.55,16,"WA","Seattle","NPSL Div 2 (99) U19","",""
"Crossfire OR Blue I G99",1554,11.94,15.55,22,"OR","Tigard","","PTT Win G99 Premier",""
"MRFC White G99",1552,9.36,19.56,21,"WA","Bonney Lake","PSPL WSPL 1 U19","",""
"FC Portland Navy G99",1538,10.95,15.26,9,"OR","Portland","","PTT Win G99 Premier",""
"PCU Red Storm G99",1535,17.91,9.12,17,"OR","Portland","","PTT Win G99 Div 1",""
"WPFC White G99",1527,14.97,10.34,24,"WA","Tacoma","RCL G99 Div 3","",""
"Seattle United Copa G99",1521,16.32,9.08,18,"WA","Seattle","RCL G99 Div 2","",""
"Wenatchee Valley United Kodiaks G99",1501,21.15,6.09,8,"WA","Wenatchee","PSPL Classic U19","",""
"FPSC Fury Black G99",1500,11.79,10.84,25,"WA","Tacoma","PSPL WSPL 1 U19","",""
"FC Edmonds Fusion G99",1493,17.83,6.83,15,"WA","Edmonds","PSPL WSPL 2 U19","",""
"Newport FC G99",1478,9.46,11.65,18,"WA","Bellevue","NPSL Div 1 (99) U19","",""
"Eastside FC White G99",1464,10.07,9.93,20,"WA","Preston","RCL G99 Div 3","",""
"Lake Hills Infinity G99",1437,11.29,7.3,10,"WA","Bellevue","NPSL Div 1 (99) U19","",""
