"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle United Copa B03",1819,29.83,39.1,23,"WA","Seattle","","","FWRL NW B03, WYS Championship B03"
"Seattle Sounders B03",1677,28.38,15.42,15,"WA","Tukwila","USSDA U15","",""
"Crossfire Premier USSDA B03",1666,28.98,13.98,28,"WA","Redmond","USSDA U15","",""
"NW United Black B03",1633,16.31,19.71,29,"WA","Burlington","","","FWRL NW B03, WYS Championship B03"
"PacNW Maroon B03",1628,22.97,13.49,16,"WA","Tukwila","","","FWRL NW B03, WYS Championship B03"
"WA Rush B03",1627,26.61,11.62,23,"WA","Everett","","","WYS Championship B03"
"Eastside FC Red B03",1593,21.08,11.54,15,"WA","Preston","","","FWRL NW B03, WYS Championship B03"
"Portland Timbers USSDA B03",1586,15.62,14.85,17,"OR","","USSDA U15","",""
"FC Portland Navy B03",1561,14.88,13.13,32,"OR","Portland","PTT B03 Div 1 Green","PTT Win B03 Premier",""
"WPFC Black B03",1554,20.08,9.25,22,"WA","Tacoma","","","WYS Championship B03"
"GS Surf A B03",1549,16.57,10.86,10,"WA","Bothel","","","FWRL NW B03, WYS Championship B03"
"Crossfire Premier A B03",1540,14.17,11.96,26,"WA","Redmond","","","WYS Championship B03"
"Eastside FC White B03",1527,10.38,14.89,25,"WA","Preston","","","WYS Presidents Cup B03 Div 1"
"GPS Oregon B03",1494,14.9,8.24,33,"OR","","PSPL WSPL 1 U15","PTT Win B03 Premier",""
"Westside Timbers Copa B03",1484,16.28,7.01,47,"OR","Beaverton","PTT B03 Div 1 Green","PTT Win B03 Premier","FWRL NW B03"
"Dragons FC B03",1482,15.1,7.46,39,"WA","Seattle","PSPL WNPL U15","Spr PSPL - '03 Super 1 U15","WA Cup Gold U15"
"Seattle United Tango B03",1473,9.56,11.13,12,"WA","Seattle","","","WYS Championship B03"
"Washington Timbers Red 1 B03",1450,17.09,5.31,23,"WA","Vancouver","","PTT Win B03 Premier",""
"PacNW Blue B03",1449,14.77,6.09,17,"WA","Tukwila","","","WYS Presidents Cup B03 Div 1"
"Salem Chelsea B03",1447,15.13,5.87,30,"OR","Salem","PTT B03 Div 1 Green","PTT Win B03 Div 1 Orange",""
"Blackhills FC Black B03",1447,12.37,7.17,18,"WA","Olympia","","","WYS Presidents Cup B03 Div 1"
"Eastside Timbers Red B03",1438,12.45,6.69,39,"OR","Gresham","PTT B03 Div 1 Green","PTT Win B03 Premier","FWRL NW B03"
"FWFC Blue B03",1423,10.05,7.46,14,"WA","Federal Way","","","WYS Presidents Cup B03 Div 1"
"Crossfire Oregon Green I B03",1418,9.59,7.54,38,"OR","Lake Oswego","PTT B03 Div 1 Green","PTT Win B03 Premier",""
"FC Nova Gold B03",1417,12.05,5.96,18,"ID","Boise","","",""
"NEU White B03",1415,11.62,6.09,17,"OR","Portland","","PTT Win B03 Premier",""
"Southside SC Azul B03",1411,11.01,6.29,37,"OR","Tigard","PTT B03 Div 1 White","PTT Win B03 Premier",""
"WPFC White B03",1410,8.64,7.91,22,"WA","Tacoma","","","WYS Presidents Cup B03 Div 1"
"FC Portland White B03",1407,8.84,7.62,22,"OR","Portland","","PTT Win B03 Div 1 Yellow",""
"Wenatchee FC Black B03",1405,9.2,7.22,27,"WA","Wenatchee","PSPL WNPL U15","","WA Cup Gold U15"
"NPSA Titans Navy B03",1404,10.18,6.49,42,"WA","Bellevue","PSPL WNPL U15","","WA Cup Gold U15"
"Capital FC Timbers Red B03",1404,12.25,5.38,21,"OR","Salem","","PTT Win B03 Premier",""
"ISC Gunners A B03",1403,7.91,8.25,47,"WA","Issaquah","PSPL WNPL U15","","WA Cup Gold U15"
"Boise Nationals Timbers Blue B03",1397,8.92,7.05,24,"ID","Boise","","","FWRL NW B03"
"WAFC Real Madrid B03",1394,11.87,5.19,24,"OR","Woodburn","","PTT Win B03 Premier","FWRL NW B03"
"Tri-Cities B03",1393,10.31,5.93,26,"WA","","PSPL Copa 1 - East U15","Spr PSPL - '03 Super 1 U15","WA Cup Silver U15"
"LASC Cuervos B03",1389,10.17,5.84,24,"OR","NE Portland","PTT B03 Div 1 Green","PTT Win B03 Div 1 Orange",""
"Kent United Green B03",1375,7.94,6.77,28,"WA","Kent","","","WYS Presidents Cup B03 Div 1"
"Spokane Sounders A B03",1362,6.91,7.12,17,"WA","Spokane","","","WYS Presidents Cup B03 Div 1"
"Crossfire Premier B B03",1359,7.24,6.66,21,"WA","Redmond","","","WYS Presidents Cup B03 Div 1"
"STU Chelsea Academy B03",1356,8.76,5.36,18,"WA","Tacoma","","","WYS Presidents Cup B03 Div 1"
"Emerald City FC Green B03",1355,9.12,5.15,33,"WA","Seattle","PSPL WSPL 1 U15","Spr PSPL - '03 Super 1 U15",""
"Seattle United Shoreline Blue B03",1354,6.19,7.5,26,"WA","Shoreline","NPSL DIVISION 1 (03) U15","","Founders Cup B03 Div A"
"Pumas UNAM B03",1353,10.88,4.24,13,"WA","Seattle","","Spr PSPL - '03 Super 1 U15",""
"Central WA SA Rave Green B03",1352,12.18,3.77,13,"WA","Yakima","PSPL WSPL 1 U15","","WA Cup Gold U15"
"Seattle United Samba B03",1347,7.33,6.07,23,"WA","Seattle","","","WYS Presidents Cup B03 Div 1"
"Central WA SA Navy B03",1345,12.82,3.41,23,"WA","Yakima","PSPL WSPL 1 U15","","WA Cup Gold U15"
"THUSC Beryllium Black B03",1341,8.58,4.96,24,"OR","Beaverton","","PTT Win B03 Div 1 Yellow",""
"Eastside FC Blue B03",1340,10.65,3.95,17,"WA","Preston","","","WYS Presidents Cup B03 Div 2"
"GS Surf B B03",1339,8.85,4.76,18,"WA","Bothel","","","WYS Presidents Cup B03 Div 1"
"Pumas UNAM B B03",1334,8.81,4.58,18,"WA","Seattle","PSPL WNPL U15","","WA Cup Gold U15"
"RVSC Timbers Red B03",1330,7.24,5.46,29,"OR","Medford","PTT B03 Div 1 White","PTT Win B03 Premier",""
"LWPFC White Piranhas B03",1325,8.17,4.65,43,"WA","Redmond","PSPL WSPL 1 U15","Spr PSPL - '03 Super 1 U15","WA Cup Gold U15"
"4-H McMinnville United B03",1325,11.5,3.3,24,"OR","","PTT B03 Div 1 Green","PTT Win B03 Premier",""
"PCU Red 1 B03",1320,7.53,4.9,36,"OR","Portland","","PTT Win B03 Premier",""
"Bend FC Timbers Red B03",1317,8.25,4.37,27,"OR","Bend","PTT B03 Div 1 Green","PTT Win B03 Div 1 Orange",""
"Toluca Portland SC Elite B03",1309,9.08,3.75,31,"OR","","PTT B03 Div 1 White","PTT Win B03 Div 1 Orange","OYS Founders Cup B03"
"Liga Tlaxtli FC Guerreros B03",1304,8.07,4.09,34,"WA","","PSPL WSPL 1 U15","",""
"Harbor Premier Green B03",1302,7.99,4.05,21,"WA","Gig Harbor","","","WYS Presidents Cup B03 Div 1"
"Crossfire Yakima A B03",1298,11.16,2.83,8,"WA","Yakima","","","WYS Presidents Cup B03 Div 1"
"Whatcom Rangers Gold B03",1295,7.07,4.39,13,"WA","Bellingham","","","WYS Presidents Cup B03 Div 1"
"Snohomish United Black B03",1292,7.48,4.04,18,"WA","Snohomish","","","WYS Presidents Cup B03 Div 1"
"Washington East SC B03",1286,6.2,4.68,28,"WA","Spokane","PSPL WNPL U15","Spr PSPL - '03 Super 1 U15",""
"Sting SC Timbers Red B03",1278,7.46,3.69,25,"ID","Coeur D'Alene","PSPL Copa 1 - East U15","",""
"Wenatchee Valley United Blue B03",1278,7.11,3.88,19,"WA","Wenatchee","PSPL Copa 2 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15","WA Cup Bronze U15"
"NSC Green B03",1274,7.36,3.63,35,"WA","Woodinvile","NPSL DIVISION 1 (03) U15","Spr NPSL (03) Div 1 U15","Founders Cup B03 Div A"
"Eastside Timbers Black 1 B03",1274,5.18,5.15,20,"OR","Gresham","","PTT Win B03 Div 1 Orange",""
"Timber Barons B03",1273,9.44,2.82,11,"WA","Longview","","PTT Win B03 Div 1 Orange",""
"Washington Timbers Red 2 B03",1271,5.5,4.77,33,"WA","Vancouver","","PTT Win B03 Div 1 Orange","WYS Presidents Cup B03 Div 2"
"Academia de Futebol ADF B03",1266,5.63,4.49,29,"OR","Portland","","PTT Win B03 Premier",""
"ETFC Ajax Black B03",1265,5.67,4.42,20,"OR","Eugene","","PTT Win B03 Div 1 Yellow",""
"Crossfire Oregon Green II B03",1259,6.84,3.51,30,"OR","Lake Oswego","PTT B03 Div 2 Green","PTT Win B03 Div 1 Orange",""
"Idaho Rush Azul B03",1251,6.49,3.51,14,"ID","Boise","","",""
"HSC Bayern Red B03",1243,5.03,4.28,31,"OR","Hillsboro","PTT B03 Div 1 White","PTT Win B03 Div 1 Yellow",""
"PacNW White B03",1241,5.44,3.91,16,"WA","Tukwila","","","WYS Presidents Cup B03 Div 2"
"River Plate SC River B03",1235,7.5,2.73,32,"OR","NE Portland","PTT B03 Div 2 Green","PTT Win B03 Div 1 Orange","OYS Founders Cup B03"
"3 Rivers Black B03",1235,6.17,3.31,11,"WA","Pasco","","","WYS Presidents Cup B03 Div 2"
"Washington Timbers White 1 B03",1230,4.35,4.53,26,"WA","Vancouver","PTT B03 Div 1 White","","Founders Cup B03 Div A"
"NK Fire B03",1227,5.37,3.6,23,"WA","Poulsbo","NPSL DIVISION 1 (03) U15","",""
"NSC Impact B03",1226,5.44,3.53,28,"WA","Woodinvile","NPSL DIVISION 2 (03) U15","","Founders Cup B03 Div A"
"Irish Lions B03",1220,7.56,2.44,25,"WA","Mukilteo","NPSL DIVISION 2 (03) U15","","Founders Cup B03 Div A"
"4-H Atletico B03",1217,9.3,1.94,32,"OR","","PTT B03 Div 1 White","PTT Win B03 Div 1 Yellow",""
"FC Edmonds Velocity B03",1213,6.58,2.67,32,"WA","Edmonds","PSPL Classic 2 - West U15","","WA Cup Bronze U15"
"FPSC Fury Black B03",1207,7.09,2.37,35,"WA","Tacoma","PSPL WSPL 2 U15","","WA Cup Silver U15"
"Seattle United W Blue B03",1202,5.97,2.72,27,"WA","Seattle","NPSL DIVISION 1 (03) U15","","Founders Cup B03 Div A"
"North Idaho Inferno Orange B03",1198,6.23,2.53,15,"ID","Post Falls","","Spr PSPL EWA - '03 Copa 1 - East U15",""
"BIFC Blue B03",1198,4.96,3.17,27,"WA","Bainbridge Island","NPSL DIVISION 1 (03) U15","","Founders Cup B03 Div A"
"Highline Select Blue B03",1192,4.78,3.17,30,"WA","Burien","NPSL DIVISION 2 (03) U15","Spr NPSL (03) Div 2 U15","Founders Cup B03 Div A"
"BSC Portland Black B03",1190,7.74,1.93,13,"OR","Portland","PTT B03 Div 2 Green","",""
"NW United Red B03",1190,6.58,2.26,25,"WA","Burlington","","Spr NPSL (03) Div 2 U15","WYS Presidents Cup B03 Div 2"
"Crossfire Select Allen B03",1182,7.45,1.89,33,"WA","Redmond","NPSL DIVISION 1 (03) U15","","Founders Cup B03 Div A"
"Seattle Celtic Green B03",1175,4.9,2.74,31,"WA","Seattle","PSPL WSPL 2 U15","","WA Cup Silver U15"
"PCU Red 2 B03",1172,4.58,2.87,10,"OR","Portland","","PTT Win B03 Div 1 Yellow",""
"WA Rush Nero B03",1167,4.07,3.14,19,"WA","Everett","","","WYS Presidents Cup B03 Div 2"
"Nortac Sparta Red B03",1166,5.18,2.44,31,"WA","Tacoma","PSPL Classic 2 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Bronze U15"
"Pacific FC United B03",1161,4,3.06,27,"WA","Battle Ground","PTT B03 Div 1 White","","Founders Cup B03 Div A"
"Tynecastle FC B03",1160,4,3.03,18,"WA","Everett","PSPL WSPL 2 U15","","WA Cup Silver U15"
"Breakers Black B03",1159,3.83,3.13,27,"WA","Spokane","PSPL Classic 1 - East U15","","WA Cup Silver U15"
"WPFC Navy B03",1157,3.41,3.49,19,"WA","Tacoma","","","WYS Presidents Cup B03 Div 2"
"Crossfire Oregon Black B03",1151,4.34,2.62,19,"OR","Lake Oswego","","PTT Win B03 Div 1 Yellow",""
"LWPFC White Barracudas B03",1150,4.64,2.44,29,"WA","Redmond","PSPL Classic 1 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Silver U15"
"Eastside Timbers Black 2 B03",1145,3.3,3.31,29,"OR","Gresham","","PTT Win B03 Div 2",""
"Westside Timbers Samba B03",1144,3.71,2.92,34,"OR","Beaverton","","PTT Win B03 Premier",""
"Pacific FC Real B03",1140,5.18,2.04,32,"WA","Battle Ground","PTT B03 Div 1 White","PTT Win B03 Div 2","OYS Founders Cup B03"
"HSC Bayern Blue B03",1135,3.46,2.95,21,"OR","Hillsboro","","PTT Win B03 Div 2",""
"Kent City White B03",1135,3.68,2.77,27,"WA","Kent","PSPL WSPL 2 U15","","WA Cup Silver U15"
"Southside SC Blanco B03",1135,3.87,2.63,34,"OR","Tigard","PTT B03 Div 2 Green","PTT Win B03 Div 1 Yellow","OYS Founders Cup B03"
"MVP Rapids Navy B03",1125,3.46,2.76,39,"WA","Maple Valley","PSPL Classic 1 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Silver U15"
"PCU Black 1 B03",1121,4.42,2.09,35,"OR","Portland","PTT B03 Div 1 White","PTT Win B03 Div 2",""
"Blackhills FC Red B03",1111,2.78,3.1,14,"WA","Olympia","","","WYS Presidents Cup B03 Div 2"
"Kent United White B03",1109,4.29,1.99,36,"WA","Kent","NPSL DIVISION 1 (03) U15","Spr NPSL (03) Div 1 U15","Founders Cup B03 Div A"
"Seattle United NE Blue B03",1108,5.58,1.52,20,"WA","Seattle","NPSL DIVISION 2 (03) U15","","Founders Cup B03 Div A"
"STU Evolution Blanco B03",1094,3.47,2.2,15,"WA","Tacoma","NPSL DIVISION 1 (03) U15","",""
"NEU Blue B03",1092,4.34,1.74,29,"OR","Portland","PTT B03 Div 1 White","PTT Win B03 Div 2",""
"Highline Premier Heat Blue B03",1091,2.69,2.79,29,"WA","Burien","PSPL Copa 1 - West U15","","WA Cup Bronze U15"
"GHYSA Real Pacific Jr B03",1082,4.71,1.5,23,"WA","","NPSL DIVISION 2 (03) U15","Spr NPSL (03) Div 2 U15",""
"TUSK Lil Sounders B03",1081,4.01,1.75,14,"WA","Tukwila","SSUL B03 Div 4","",""
"NPSA Titans White B03",1078,3.6,1.91,33,"WA","Bellevue","PSPL WSPL 2 U15","","WA Cup Silver U15"
"Wenatchee FC B B03",1074,3.84,1.74,25,"WA","Wenatchee","PSPL Copa 1 - East U15","Spr PSPL EWA - '02/'03 Copa 1 - East U16",""
"Mukilteo Rush B03",1065,2.29,2.74,27,"WA","Mukilteo","NPSL DIVISION 2 (03) U15","","Founders Cup B03 Div A"
"Cascade FC Green B03",1062,4.8,1.29,32,"WA","North Bend","PSPL Classic 1 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Bronze U15"
"GPS Newberg B03",1059,3.34,1.8,16,"OR","","","PTT Win B03 Div 2",""
"Toluca Portland SC Elite Bejar B03",1047,3.03,1.83,11,"OR","","","PTT Win B03 Div 2",""
"TC United Navy B03",1043,2.61,2.07,33,"WA","Lacey","PSPL Classic 2 - West U15","Spr PSPL - '03 Classic 2 - West U15","WA Cup Bronze U15"
"Snohomish United Red B03",1043,4.51,1.19,33,"WA","Snohomish","NPSL DIVISION 2 (03) U15","Spr NPSL (03) Div 1 U15","Founders Cup B03 Div A"
"NSC Inferno B03",1039,4.08,1.28,35,"WA","Woodinvile","NPSL DIVISION 3 (03) U15","Spr NPSL (03) Div 2 U15","Founders Cup B03 Div A"
"Seattle United Shoreline White B03",1038,2.77,1.87,21,"WA","Shoreline","NPSL DIVISION 3 (03) U15","Spr NPSL (03) Div 1 U15",""
"Lake Hills Lightning B03",1036,3.92,1.31,19,"WA","Bellevue","NPSL DIVISION 1 (03) U15","","Founders Cup B03 Div A"
"Newport FC B03",1036,3.06,1.68,25,"WA","Bellevue","NPSL DIVISION 3 (03) U15","Spr NPSL (03) Div 2 U15","Founders Cup B03 Div A"
"Emerald City FC White B03",1035,3.43,1.49,19,"WA","Seattle","PSPL Classic 2 - West U15","","WA Cup Bronze U15"
"FME Xtreme B03",1033,2.99,1.69,18,"WA","Milton","NPSL DIVISION 3 (03) U15","","Founders Cup B03 Div A"
"NC Alliance Rebels B03",1028,2.97,1.64,22,"WA","","PSPL Classic 2 - West U15","","WA Cup Bronze U15"
"Storm King B03",1025,4.31,1.1,15,"WA","Port Angeles","NPSL DIVISION 2 (03) U15","",""
"SSC Shadow Elite Sonko B03",1023,4.57,1.03,32,"WA","Spokane Valley","PSPL Copa 2 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Westside Timbers Mundial B03",1017,2.49,1.81,38,"OR","Beaverton","PTT B03 Div 1 White","PTT Win B03 Div 1 Yellow",""
"FWFC White B03",1017,2.57,1.75,15,"WA","Federal Way","","","WYS Presidents Cup B03 Div 2"
"Spokane Sounders B B03",1016,2.77,1.61,11,"WA","Spokane","","","WYS Presidents Cup B03 Div 2"
"Eagleclaw FA Golden Eagles B03",1015,2.18,2.04,27,"WA","Seattle","PSPL Classic 1 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Silver U15"
"Fircrest Eagles B03",1014,2.96,1.48,10,"WA","","SSUL B03 Div 4","",""
"Oregon Trail SC Thunder B03",1013,4,1.09,21,"OR","","PTT B03 Div 2 Green","","OYS Founders Cup B03"
"Crossfire Oregon Black 2 B03",1011,2.1,2.06,10,"OR","Lake Oswego","","PTT Win B03 Div 2",""
"PCU Black 2 B03",1009,3.02,1.41,24,"OR","Portland","PTT B03 Div 2 Green","PTT Win B03 Div 2",""
"ISC Gunners B B03",994,2.67,1.44,42,"WA","Issaquah","PSPL Classic 1 - West U15","Spr PSPL - '03 Classic 1 - West U15","WA Cup Silver U15"
"PSA Force Black B03",994,2.19,1.75,22,"WA","Marysville","NPSL DIVISION 2 (03) U15","",""
"Hawks SC B03",990,2.97,1.26,27,"WA","Pullman","PSPL Copa 2 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Impact FC Black B03",987,3,1.22,24,"WA","Renton","PSPL Copa 1 - West U15","",""
"Seattle United W White B03",981,2.87,1.22,15,"WA","Seattle","NPSL DIVISION 3 (03) U15","",""
"Spokane Pumas B03",976,2.42,1.4,28,"WA","Spokane","PSPL Copa 1 - East U15","Spr PSPL EWA - '02/'03 Copa 1 - East U16",""
"West Narrows Blue B03",972,2.71,1.21,26,"WA","Gig Harbor","PSPL Classic 2 - West U15","",""
"Sherwood Fusion B03",970,2.98,1.09,10,"OR","","PTT B03 Div 2 Green","",""
"THUSC Fluorine B03",966,1.93,1.63,18,"OR","Beaverton","PTT B03 Div 2 Green","",""
"WS Blue Rockets B03",960,3.29,0.92,9,"WA","West Seattle","SSUL B03 Div 4","",""
"Seattle United S Blue B03",958,2.13,1.41,27,"WA","Seattle","NPSL DIVISION 1 (03) U15","Spr NPSL (03) Div 1 U15","Founders Cup B03 Div A"
"Crossfire Premier C B03",956,2.49,1.19,13,"WA","Redmond","","","WYS Presidents Cup B03 Div 2"
"IEYSA Storm B03",955,2.56,1.14,22,"WA","Cheney","PSPL Classic 1 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Crossfire Select Downing B03",952,2.84,1.01,22,"WA","Redmond","NPSL DIVISION 2 (03) U15","","Founders Cup B03 Div A"
"South Whidbey Islanders B03",950,2.53,1.12,15,"WA","Clinton","NPSL DIVISION 3 (03) U15","",""
"RSA Elite B03",950,2.43,1.16,26,"WA","Puyallup","PSPL Classic 2 - West U15","Spr PSPL - '03 Classic 2 - West U15","WA Cup Bronze U15"
"Kitsap Alliance FC Red B03",949,2.06,1.36,9,"WA","Silverdale","","","WYS Presidents Cup B03 Div 2"
"North Central Racers B03",937,2.56,1.01,15,"WA","","PSPL Copa 2 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Breakers Red B03",924,2.23,1.06,26,"WA","Spokane","PSPL Copa 1 - East U15","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Pelada FA Calcio B03",922,2.46,0.94,10,"OR","Eugene","","PTT Win B03 Div 2",""
"Mercer Island FC Arsenal B03",921,1.89,1.22,16,"WA","Mercer Island","NPSL DIVISION 2 (03) U15","",""
"GS Surf C B03",917,2.07,1.08,14,"WA","Bothel","","","WYS Presidents Cup B03 Div 2"
"FWFC Chaos B03",888,2.23,0.82,11,"WA","Federal Way","SSUL B03 Div 4","",""
