"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Kent United Green B99",1790,40.88,23.43,23,"WA","Kent","NPSL DIVISION 1 (99) U19",""
"Breakers Red B99",1786,64.53,14.44,13,"WA","Spokane","PSPL Copa - East U18-19","WA Cup Silver U19"
"Crossfire Oregon Green II B99",1776,40.2,21.57,23,"OR","Lake Oswego","",""
"Shoreline Sportsverrou B99",1756,40.71,18.6,14,"WA","Shoreline","PSPL Classic - West U19",""
"Eastside Timbers Black B99",1731,23.63,26.79,19,"OR","Gresham","",""
"FC Spokane Babinski B99",1718,34.37,16.91,17,"WA","Spokane","PSPL Classic - East U19",""
"TBSC Arsenal FC B99",1717,38.13,15.08,11,"WA","Mountlake Terrace","NPSL DIVISION 2 (00/99) U19",""
"IEYSA Storm Black B99",1712,31.17,17.91,17,"WA","Cheney","PSPL WSPL U19",""
"Roosevelt HS B99",1711,29.25,18.91,10,"WA","Seattle","",""
"FPSC Strikers B99",1707,33.6,16,10,"WA","Tacoma","PSPL Classic - West U19",""
"FPSC Fury Black B B99",1690,23.81,20.02,15,"WA","Tacoma","PSPL WSPL U19","WA Cup Gold U19"
"Blackhills FC Red B99",1676,32.14,13.47,23,"WA","Olympia","NPSL DIVISION 2 (00/99) U19",""
"Bend FC Timbers Green B99",1653,28.94,12.8,13,"OR","Bend","",""
"IEYSA Valor Black B99",1646,27.21,12.94,16,"WA","Cheney","PSPL Classic - East U19",""
"ASE Royal B99",1623,25.51,11.78,10,"WA","Pasco","PSPL Classic - East U19",""
"IEYSA Valor Maroon B99",1598,31.06,8.11,13,"WA","Spokane","PSPL Copa - East U18-19",""
"Tracyton Force B99",1595,20.11,12.3,18,"WA","Tracyton","NPSL DIVISION 2 (00/99) U19",""
"ISC Gunners B B99",1558,12.22,15.65,21,"WA","Issaquah","PSPL Classic - West U19","WA Cup Silver U19"
"FME Xtreme B99",1503,12.63,10.35,15,"WA","Milton","NPSL DIVISION 2 (00/99) U19",""
"IEYSA Storm B B99",1378,8.59,6.38,10,"WA","Cheney","PSPL Copa - East U18-19",""
