"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"FC Bellevue G04",956,1.44,2.04,19,"WA","Bellevue","PSPL WSPL U14","Spr PSPL - '04 Classic 1 - West U14",""
"SSC Shadow Valley Elite White G04",948,2,1.39,12,"WA","Spokane Valley","PSPL Copa 1 - East U14","",""
"PSA Force G04",947,1.61,1.71,21,"WA","Marysville","NPSL Div 2 (04) U14","Spr NPSL (04) Div 2 U14",""
"TC United White G04",937,1.76,1.47,17,"WA","Lacey","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"Snohomish United Red G04",932,2.17,1.15,27,"WA","Snohomish","NPSL Div 2 (04) U14","Spr NPSL (04) Div 3 U14",""
"CYSA Timber Barons White G04",932,1.91,1.31,11,"WA","Kelso","PTT G04 Div 2 Red North","Spr OYS G04 Div 2 White",""
"TFA Willamette G04",917,1.52,1.48,20,"OR","","PTT G04 Div 1 White","Spr OYS G04 Div 2 Red","OYS Founders Cup G04"
"Crossfire OR LOSC Blue II G04",906,2.05,1.01,24,"OR","Lake Oswego","PTT G04 Div 2 Red South","Spr OYS G04 Div 2 Red","OYS Founders Cup G04"
"MVP Marauders White G04",887,1.68,1.09,24,"WA","Maple Valley","PSPL Classic 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"ISC Gunners C G04",887,1.32,1.38,25,"WA","Issaquah","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"CWSA White G04",885,1.3,1.38,16,"WA","Yakima","PSPL Classic 1 - East U14","",""
"KVJSA Ellensburg FC G04",884,2.01,0.89,10,"WA","Ellensburg","PSPL Copa 2 - East U14","",""
"Spokane Foxes Tweedy G04",872,2.52,0.65,10,"WA","Spokane","PSPL Copa 2 - East U14","",""
"MIFC Sting G04",870,1.08,1.51,12,"WA","Mercer Island","NPSL Div 3 (04) U14","",""
"Southlake Select Red G04",869,1.93,0.84,21,"WA","Renton","NPSL Div 3 (04) U14","Spr NPSL (04) Div 3 U14",""
"BIFC Blue G04",867,1.47,1.08,11,"WA","Bainbridge","NPSL Div 3 (04) U14","",""
"Washington Timbers White 2 G04",866,0.98,1.6,21,"WA","Vancouver","PTT G04 Div 2 Red North","Spr OYS G04 Div 2 Red","OYS Founders Cup G04"
"FC Spokane Black Clayton G04",861,2.05,0.75,20,"WA","Spokane","PSPL Classic 1 - East U14","",""
"GS Surf C G04",849,0.88,1.59,24,"WA","Bothel","RCL G04 Div 4","",""
"NK Chaos G04",847,1.1,1.25,17,"WA","Poulsbo","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"Walla Walla United SC Strikers G04",844,1.31,1.03,19,"WA","Walla Walla","PSPL Classic 1 - East U15, PSPL Copa 2 - East U14","",""
"SK United G04",839,0.87,1.5,10,"WA","Kitsap","PSPL Copa 1 - West U14","",""
"Sting SC Timbers White G04",838,1.64,0.8,15,"ID","","PSPL Copa 1 - East U14","",""
"FC Columbia County G04",828,0.95,1.28,17,"OR","","PTT G04 Div 2 Red North","Spr OYS G04 Div 2 White",""
"MRFC White G04",826,1.09,1.11,19,"WA","Bonney Lake","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"PCU Black 1 G04",814,1.05,1.05,16,"OR","Portland","PTT G04 Div 2 Red South","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"Storm King G04",764,0.63,1.23,12,"WA","Port Angeles","NPSL Div 1 (04) U14","",""
"Silver FC Epic G04",742,0.79,0.84,15,"WA","Silver Lake","PSPL Copa 1 - West U14","",""
"THUSC Riptide G04",739,0.73,0.89,10,"OR","Tualatin Hills","PTT G04 Div 2 Red South","",""
"Idaho Rush Azul G04",737,0.51,1.27,8,"ID","Boise","Idaho D3 Div 2 U14","",""
"West Narrows FC Blue G04",731,1.07,0.58,16,"WA","Gig Harbor","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"Westside Timbers Mundial TS G04",703,0.8,0.64,26,"OR","Beaverton","PTT G04 Div 2 Red South","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
"CWSA Rave Green G04",701,0.78,0.65,10,"WA","Yakima","PSPL Copa 2 - East U14","",""
"NSC Black Pride G04",697,0.38,1.29,17,"WA","Woodinvile","NPSL Div 3 (04) U14","",""
"Seattle Celtic Orange G04",665,0.79,0.5,12,"WA","Seattle","PSPL Copa 1 - West U14","Spr PSPL - '04 Copa 1 - West U14",""
"ASE Navy G04",624,0.46,0.64,10,"WA","Pasco","PSPL Copa 2 - East U14","",""
"Whatcom FC Rangers White G04",595,0.22,1.08,24,"WA","Bellingham","NPSL Div 3 (04) U14","Spr NPSL (04) Div 3 U14","Founders Cup G04 Div A"
"Tracyton Force G04",542,0.24,0.71,12,"WA","Tracyton","NPSL Div 3 (04) U14","",""
