"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Whatcom Rangers White B04",828,1.46,0.83,28,"WA","Bellingham","NPSL DIVISION 2 (04) U14","","Founders Cup B04 Div A"
"YCSC B04",821,1.48,0.78,10,"OR","","PTT B04 Div 2 White","",""
"FME Xtreme B04",818,1.53,0.74,18,"WA","Milton","NPSL DIVISION 3 (04) U14","",""
"South Kitsap United B04",815,1.21,0.91,13,"WA","Port Orchard","PSPL Copa 1 - West U14","",""
"WS Red Bulls B04",803,1.16,0.88,15,"WA","West Seattle","NPSL DIVISION 2 (04) U14","",""
"Santos FC Angeles B04",802,1.27,0.8,10,"OR","Forest Grove","PTT B04 Div 1 White","",""
"IEYSA Storm B04",779,1.39,0.62,18,"WA","Cheney","PSPL Copa 1 - East U14","",""
"West Narrows Blue B04",771,1.56,0.52,13,"WA","Gig Harbor","PSPL Copa 1 - West U14","",""
"PCU Black 2 B04",764,1.28,0.6,22,"OR","Portland","PTT B04 Div 2 White","Spr OYS B04 Div 2 White","OYS Founders Cup B04"
"FWFC Black B04",756,1.2,0.62,22,"WA","Federal Way","RCL B04 Div 4","",""
"Oregon Trail SC Strikers B04",756,1.38,0.53,21,"OR","","PTT B04 Div 2 White","Spr OYS B04 Div 2 White",""
"Eagleclaw FA Blue Hawks B04",752,1.21,0.59,20,"WA","Seattle","PSPL Copa 1 - West U14","",""
"Seattle United W White B04",750,1.17,0.6,15,"WA","Seattle","NPSL DIVISION 2 (04) U14","",""
"NEU Silver B04",743,1.02,0.66,15,"OR","Portland","PTT B04 Div 2 White","Spr OYS B04 Div 2 White","OYS Founders Cup B04"
"WUFC White B04",734,0.71,0.89,13,"OR","","PTT B04 Div 2 White","Spr OYS B04 Div 2 White","OYS Founders Cup B04"
"Endeavor SA B04",725,1.15,0.52,10,"WA","","PSPL Copa 1 - East U14","",""
"Nortac Sparta Red B04",719,1.3,0.44,21,"WA","Tacoma","PSPL Classic 3 - West U14","",""
"LYS Red Knights B04",718,0.9,0.63,17,"OR","","PTT B04 Div 2 White","",""
"Emerald City FC Blue B04",700,1.03,0.48,17,"WA","Seattle","PSPL Copa 1 - West U14","",""
"Washington Timbers White 2 B04",695,0.71,0.68,23,"WA","Vancouver","PTT B04 Div 2 White","Spr OYS B04 Div 2 White","OYS Founders Cup B04"
"BIFC White B04",653,0.77,0.47,20,"WA","Bainbridge Island","NPSL DIVISION 3 (04) U14","",""
"Seattle Celtic Black B04",638,0.8,0.41,10,"WA","Seattle","PSPL Copa 1 - West U14","",""
"Impact FC White B04",603,0.72,0.36,24,"WA","Renton","PSPL Copa 1 - West U14","",""
"Westside Timbers Samba B04",603,0.44,0.58,21,"OR","Beaverton","PTT B04 Div 2 Green","Spr OYS B04 Div 2 White","OYS Founders Cup B04"
"GPS Newberg B04",595,0.67,0.36,19,"OR","","PTT B04 Div 2 Green","Spr OYS B04 Div 2 White",""
"IFC Red B04",585,0.34,0.66,15,"WA","Issaquah","NPSL DIVISION 3 (04) U14","",""
