"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Eastside Timbers Red B02",1828,45.01,27.71,25,"OR","Gresham","","PTT Win B02 Premier Green","FWRL NW B02"
"Central WA SA Navy B02",1816,41,27.87,29,"WA","Yakima","PSPL WNPL U16","","WA Cup Gold U16"
"WPFC Black B02",1781,36.4,24.69,25,"WA","Tacoma","RCL B02 Div 1","","FWRL NW B02, WYS Championship B02"
"Crossfire Premier A B02",1781,24.27,37,30,"WA","Redmond","RCL B02 Div 1","","WYS Championship B02"
"Seattle United Copa B02",1757,29.9,25.45,22,"WA","Seattle","RCL B02 Div 1","","FWRL NW B02, WYS Championship B02"
"Eastside FC Red B02",1757,42.66,17.78,24,"WA","Preston","RCL B02 Div 2","","WYS Championship B02"
"Westside Timbers Copa Red B02",1756,37.62,20.02,34,"OR","Beaverton","","PTT Win B01 Premier","FWRL NW B02"
"STU Chelsea Academy B02",1755,29.16,25.68,25,"WA","Tacoma","RCL B02 Div 3","","WYS Presidents Cup B02 Div 1"
"Spokane Sounders A B02",1723,23.42,25.63,30,"WA","Spokane","RCL B02 Div 1","","WYS Championship B02"
"Boise Nationals Timbers Blue B02",1722,28.67,20.79,14,"ID","Boise","","","FWRL NW B02"
"PacNW Maroon B02",1697,30.91,16.21,29,"WA","Tukwila","RCL B02 Div 1","","FWRL NW B02, WYS Championship B02"
"Crossfire Premier B B02",1692,22.38,21.71,35,"WA","Redmond","RCL B02 Div 2","","WYS Championship B02"
"Capital FC Timbers Red B02",1676,24.63,17.66,22,"OR","Salem","","PTT Win B02 Premier Green",""
"Eclipse FC B02",1657,24.04,15.78,29,"WA","","PSPL WNPL U16","","WA Cup Gold U16"
"PacNW Blue B02",1652,27.68,13.24,34,"WA","Tukwila","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Spokane Sounders B B02",1643,17.85,19.35,33,"WA","Spokane","RCL B02 Div 4","","WYS Presidents Cup B02 Div 1"
"Snohomish United Black B02",1636,21.64,15.16,29,"WA","Snohomish","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
