"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"WPFC Black B01",2025,83.76,58.17,44,"WA","Tacoma","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"Westside Timbers Copa Red B01",2014,91.45,49.2,27,"OR","Beaverton","","PTT Win B00 Premier","FWRL NW B01"
"WA Rush B01",1963,76.67,41.36,35,"WA","Everett","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"Idaho Rush Premier B01",1942,50.12,54.5,19,"ID","Boise","","",""
"Eastside FC Red B01",1925,49.96,48.82,28,"WA","Preston","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"Wenatchee Valley United Aguilitas B01",1922,68.04,34.97,19,"WA","Wenatchee","PSPL WNPL U17","","WA Cup Gold U17"
"PacNW Maroon B01",1918,74.54,31.23,23,"WA","Tukwila","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"Eastside FC White B01",1917,48.78,47.17,36,"WA","Preston","RCL B01 Div 2","","WYS Championship B01"
"Seattle United Copa B01",1903,64.49,32.35,24,"WA","Seattle","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"Spokane Sounders A B01",1902,69.03,30.09,31,"WA","Spokane","RCL B01 Div 1","","WYS Championship B01"
"Washington Timbers Red 1 B01",1889,58.51,32.55,29,"WA","Vancouver","RCL B01 Div 2","","WYS Championship B01"
"Kitsap Alliance FC Red B01",1889,40.2,47.34,39,"WA","Silverdale","RCL B01 Div 3","","WYS Presidents Cup B01 Div 1"
"PacNW Blue B01",1885,64.08,28.74,34,"WA","Tukwila","RCL B01 Div 2","","WYS Presidents Cup B01 Div 1"
"Snohomish United Black B01",1875,54.77,31.41,27,"WA","Snohomish","RCL B01 Div 2","","WYS Championship B01"
"Crossfire Premier A B01",1872,53.41,31.51,40,"WA","Redmond","RCL B01 Div 1","","WYS Championship B01"
"Eastside Timbers Red B01",1869,60.91,27.21,37,"OR","Gresham","","PTT Win B01 Premier","FWRL NW B01"
"GS Surf A B01",1854,48.52,30.76,33,"WA","Bothel","RCL B01 Div 1","","FWRL NW B01, WYS Championship B01"
"WPFC White B01",1848,47.94,29.77,30,"WA","Tacoma","RCL B01 Div 2","","WYS Presidents Cup B01 Div 1"
"3 Rivers Black B01",1836,43.81,30,24,"WA","Pasco","RCL B01 Div 3","","WYS Presidents Cup B01 Div 1"
"ISC Gunners A B01",1833,31.69,40.58,42,"WA","Issaquah","PSPL WNPL U17","","WA Cup Gold U17"
"Crossfire Select Greenwalt B01",1832,52.96,24.14,38,"WA","Redmond","RCL B01 Div 4","","WYS Presidents Cup B01 Div 1"
"River Plate SC 24K B01",1828,55.78,22.25,23,"OR","NE Portland","","PTT Win B01 Premier",""
"ETFC Valencia Black B01",1824,57.54,20.98,27,"OR","Eugene","","PTT Win B01 Premier",""
"Santos FC Inter B01",1823,41.67,28.79,24,"OR","Forest Grove","","PTT Win B01 Premier",""
"Whatcom Rangers Gold B01",1815,33.76,33.66,34,"WA","Bellingham","RCL B01 Div 2","","WYS Championship B01"
