"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"PacNW Maroon G03",1825,45.12,26.92,32,"WA","Tukwila","RCL G03 Div 1","","FWRL NW G03 White, WYS Championship G03"
"GS Surf A G03",1801,26.56,38.91,29,"WA","Bothel","RCL G03 Div 1","","FWRL NW G03 Black, WYS Championship G03"
"Crossfire OR United ECNL G03",1733,31.21,20.6,22,"OR","","PTT G03 Premier","ECNL U15",""
"FWFC Blue G03",1729,22.37,28.07,41,"WA","Federal Way","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"HSC GPS Oregon G03",1722,21.17,28.08,17,"OR","Hillsboro","PSPL WNPL U15","","FWRL NW G03 Black"
"Eastside FC Red G03",1710,23.59,23.26,21,"WA","Preston","RCL G03 Div 1","","FWRL NW G03 White, WYS Championship G03"
"Idaho Rush Premier G03",1687,21.13,22.12,9,"ID","Boise","","","FWRL NW G03 White"
"FC Salmon Creek Nemesis White G03",1676,29.26,14.77,25,"WA","Salmon Creek","","PTT Win G03 Premier","FWRL NW G03 Black"
"WPFC Black G03",1670,18.17,22.83,34,"WA","Tacoma","RCL G03 Div 1","","FWRL NW G03 White, WYS Championship G03"
"Spokane Sounders A G03",1660,27.68,14.06,28,"WA","Spokane","RCL G03 Div 2","","WYS Championship G03"
"WPFC ECNL G03",1659,26.49,14.52,13,"WA","Tacoma","","ECNL U15",""
"Three Rivers SC Black G03",1655,21.15,17.72,34,"WA","Pasco","RCL G03 Div 1","","WYS Championship G03"
"Seattle United Copa G03",1605,17.53,15.1,21,"WA","Seattle","RCL G03 Div 1","","FWRL NW G03 Black, WYS Championship G03"
"Harbor Premier Green G03",1604,25.02,10.51,34,"WA","Gig Harbor","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"Crossfire Premier ECNL G03",1583,27.21,8.38,17,"WA","Redmond","","ECNL U15",""
"Crossfire OR Blue I G03",1556,12.83,14.68,18,"OR","Tigard","","PTT Win G03 Premier",""
"ETFC Lyon Black G03",1549,14.9,12.03,37,"OR","Eugene","PTT G03 Premier","PTT Win G03 Premier","FWRL NW G03 White"
"Whatcom FC Rangers Gold G03",1537,13.87,11.91,29,"WA","Bellingham","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"Washington Timbers Red 1 G03",1530,18.94,8.33,37,"WA","Vancouver","PTT G03 Premier","PTT Win G03 Premier","FWRL NW G03 White"
"MRFC Blue G03",1530,12.36,12.73,41,"WA","Bonney Lake","PSPL WNPL U15","","WA Cup Gold Div"
"Breakers Black Swoboda G03",1530,17.17,9.16,35,"WA","Spokane","PSPL WNPL U15","",""
"Seattle United Tango G03",1520,13.92,10.6,26,"WA","Seattle","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"BSC Portland Black G03",1515,16.47,8.62,37,"OR","Portland","PTT G03 Premier","PTT Win G03 Premier",""
"WA Rush G03",1507,15.38,8.73,36,"WA","Everett","RCL G03 Div 1","","WYS Championship G03"
"ISC Gunners A G03",1502,13.01,10.01,36,"WA","Issaquah","PSPL WNPL U15","",""
"NW United Black G03",1496,14.53,8.59,32,"WA","Burlington","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"NEU White G03",1495,17.63,7.02,25,"OR","Portland","PTT G03 Premier","PTT Win G03 Premier",""
"Snohomish United Black G03",1483,13.5,8.43,30,"WA","Snohomish","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"PacNW Blue G03",1479,10.22,10.82,32,"WA","Tukwila","RCL G03 Div 2","","WYS Presidents Cup G03 Div 1"
"Dragons FC G03",1469,10.31,10.02,27,"WA","Seattle","PSPL WNPL U15","",""
"Nortac Sparta Red G03",1469,10.94,9.42,35,"WA","Tacoma","PSPL WNPL U15","","WA Cup Gold Div"
"Eastside FC White G03",1465,12.64,7.95,21,"WA","Preston","RCL G03 Div 3","","WYS Presidents Cup G03 Div 1"
"Westside Timbers Copa TS G03",1461,8.28,11.82,35,"OR","Beaverton","PTT G03 Premier","PTT Win G03 Div 1 Red",""
"Blackhills FC Black G03",1447,15.82,5.61,38,"WA","Olympia","RCL G03 Div 3","","WYS Presidents Cup G03 Div 1"
"Crossfire Premier A G03",1445,9.48,9.19,32,"WA","Redmond","RCL G03 Div 3","","WYS Presidents Cup G03 Div 1"
"Oregon Trails FC Fusion White G03",1437,3.79,21.84,10,"OR","","","PTT Win G03 Div 2",""
"Crossfire Select Tacey G03",1436,11.26,7.28,29,"WA","Redmond","RCL G03 Div 4","","WYS Presidents Cup G03 Div 1"
"Capital FC Timbers Red G03",1413,7.59,9.22,24,"OR","Salem","","PTT Win G03 Premier","FWRL NW G03 Black"
"FME Fusion G03",1405,6.48,10.21,25,"WA","Fife","NPSL Div 1 (03) U15","",""
"THUSC Emerald G03",1401,8.63,7.45,26,"OR","Tualatin Hills","","PTT Win G03 Premier",""
"PCU Red 1 G03",1393,10.08,6.05,35,"OR","Portland","","PTT Win G03 Div 1 Red",""
"FPSC Fury Black G03",1390,6.98,8.54,40,"WA","Tacoma","PSPL WNPL U15","",""
"Indie Chicas Lime G03",1387,5.76,10.18,15,"ID","Eagle","","",""
"Seattle Celtic Green G03",1386,9.05,6.41,25,"WA","Seattle","PSPL Classic 1 - West U15","",""
"Sting SC Timbers Red G03",1383,10.71,5.32,17,"ID","","","Spr PSPL EWA - '03 Copa 1 - East U15",""
"FC Edmonds Revolution G03",1375,7.78,6.91,31,"WA","Edmonds","PSPL WSPL U15","","WA Cup Silver Div"
"Washington Timbers Red 2 G03",1374,10.32,5.16,22,"WA","Vancouver","","PTT Win G03 Div 1 Red",""
"GS Surf C G03",1373,8.93,5.95,31,"WA","Bothel","RCL G03 Div 3","","WYS Presidents Cup G03 Div 2"
"OFA Azul G03",1370,7.75,6.69,20,"OR","","PTT G03 Div 1 Red","PTT Win G03 Premier",""
"IFC GPS G03",1368,11.3,4.53,20,"OR","","PTT G03 Premier","PTT Win G03 Premier",""
"CSC Storm G03",1366,11.59,4.36,25,"OR","Corvallis","PTT G03 Div 1 Red","PTT Win G03 Div 1 Red",""
"FC Portland Navy G03",1356,7.55,6.25,42,"OR","Portland","PTT G03 Div 1 Red","PTT Win G03 Premier",""
"GS Surf B G03",1356,4.92,9.59,27,"WA","Bothel","RCL G03 Div 1","","WYS Championship G03"
"Valor Black Deatherage G03",1354,8.03,5.81,14,"WA","Spokane","PSPL WSPL U15","",""
"PacNW White G03",1348,8.32,5.38,30,"WA","Tukwila","RCL G03 Div 4","","WYS Presidents Cup G03 Div 2"
"CYSA Timber Barons Green G03",1346,6.87,6.4,25,"WA","Kelso","PTT G03 Div 1 Red","PTT Win G03 Div 1 White",""
"Kitsap Alliance Red G03",1336,7.17,5.73,25,"WA","Silverdale","RCL G03 Div 3","","WYS Presidents Cup G03 Div 2"
"CWSA Navy G03",1334,10.77,3.75,18,"WA","Yakima","PSPL WSPL U15","",""
"Eastside Timbers Red G03",1331,8.01,4.94,34,"OR","Gresham","PTT G03 Div 1 Red","PTT Win G03 Premier",""
"Seattle United Shoreline Blue G03",1330,6.96,5.66,24,"WA","Seattle","NPSL Div 1 (03) U15, NPSL Div 2 (03) U15","","WYS Presidents Cup G03 Div 2"
"ETFC Lyon Red G03",1327,7.58,5.07,14,"OR","Eugene","","PTT Win G03 Div 1 Red",""
"Kent United Green G03",1316,5.19,6.91,29,"WA","Kent","NPSL Div 1 (03) U15","","WYS Presidents Cup G03 Div 2"
"PSA Force G03",1311,9.58,3.59,20,"WA","Marysville","PSPL WSPL U15","",""
"Aloha United SC Thorns G03",1310,5.75,5.97,25,"OR","","PTT G03 Div 1 Red","PTT Win G03 Div 1 Red",""
"Crossfire OR Blue II G03",1300,6.14,5.22,33,"OR","Tigard","PTT G03 Div 1 Red","PTT Win G03 Premier",""
"Wenatchee Valley United Barboza G03",1294,5.45,5.63,27,"WA","Wenatchee","PSPL Classic 1 - East U15","",""
"WPFC White G03",1289,6.28,4.71,35,"WA","Tacoma","RCL G03 Div 3","","WYS Presidents Cup G03 Div 2"
"Crossfire Select Cipra G03",1285,4.65,6.22,26,"WA","Redmond","NPSL Div 1 (03) U15","","WYS Presidents Cup G03 Div 2"
"Pacific FC Elite G03",1285,7.59,3.8,38,"WA","Battleground","PTT G03 Div 1 White","PTT Win G03 Div 1 Red","OYS Founders Cup G03"
"NSC Vipers G03",1283,5.74,4.96,26,"WA","Woodinvile","NPSL Div 1 (03) U15","","WYS Presidents Cup G03 Div 2"
"ISC Gunners B G03",1274,5.24,5.09,29,"WA","Issaquah","PSPL Classic 2 - West U15","","WA Cup Bronze Div"
"RV Slammers Orange G03",1256,3.93,6,23,"WA","Auburn","RCL G03 Div 3","","WYS Presidents Cup G03 Div 2"
"Spokane Sounders B G03",1256,4.22,5.59,23,"WA","Spokane","RCL G03 Div 4","","WYS Presidents Cup G03 Div 2"
"MVP Marauders Navy G03",1254,3.7,6.28,32,"WA","Maple Valley","PSPL WSPL U15","",""
"Breakers Black Wilson G03",1252,3.81,6.03,16,"WA","Spokane","PSPL Classic 1 - East U15","",""
"CUSC Lil Thorns G03",1248,5.9,3.79,33,"OR","Clackamas","PTT G03 Div 1 White","PTT Win G03 Div 1 Red","OYS Founders Cup G03"
"THUSC Sapphire G03",1243,6.41,3.35,31,"OR","Tualatin Hills","PTT G03 Premier","PTT Win G03 Div 1 Red",""
"Cheney Storm FC G03",1233,6.62,3.03,13,"WA","Cheney","","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Highline Premier Blue G03",1226,5.27,3.65,22,"WA","Burien","PSPL Classic 1 - West U15","","WA Cup Silver Div"
"WA Rush Nero G03",1205,4.41,3.75,29,"WA","Everett","RCL G03 Div 3","","WYS Presidents Cup G03 Div 2"
"SGESC Fusion Navy G03",1202,3.9,4.15,16,"WA","Graham","PSPL Classic 1 - West U15","",""
"CSC Velocity Green G03",1194,3.38,4.55,21,"WA","Renton","PSPL Classic 2 - West U15","","WA Cup Bronze Div"
"ASE Emerald G03",1188,2.23,6.64,14,"WA","Pasco","PSPL Classic 1 - East U15","",""
"Seattle United W Blue G03",1185,3.94,3.66,26,"WA","Seattle","NPSL Div 1 (03) U15","","WYS Presidents Cup G03 Div 2"
"WA East G03",1180,6.14,2.26,29,"WA","Spokane","PSPL Classic 1 - East U15","",""
"Whatcom FC Rangers Blue G03",1172,3.42,3.85,21,"WA","Bellingham","RCL G03 Div 4","","WYS Presidents Cup G03 Div 2"
"Eastside FC Blue G03",1169,4.78,2.7,25,"WA","Preston","RCL G03 Div 4","","WYS Presidents Cup G03 Div 2"
"PCU Black 1 G03",1164,4.53,2.75,33,"OR","Portland","PTT G03 Div 1 Red","PTT Win G03 Div 1 White","OYS Founders Cup G03"
"Spokane Foxes Premier G03",1157,4.15,2.85,18,"WA","Spokane","PSPL WSPL U15","",""
"Westside Timbers Samba TS G03",1156,3.07,3.86,32,"OR","Beaverton","PTT G03 Div 1 White","PTT Win G03 Div 1 White",""
"Wenatchee Valley United Magic Strykers G03",1156,6.67,1.77,14,"WA","Wenatchee","","Spr PSPL EWA - '03 Copa 1 - East U15",""
"Spokane Scotties Young G03",1154,5.11,2.28,13,"WA","Spokane","","Spr PSPL EWA - '03 Copa 2 - East U15",""
"TFA Willamette G03",1148,2.33,4.78,10,"OR","","","PTT Win G03 Div 1 White",""
"Southlake Select Patriots G03",1136,4.24,2.43,19,"WA","Renton","NPSL Div 1 (03) U15","",""
"FCC Cougars G03",1120,5,1.83,23,"OR","","PTT G03 Div 1 White","PTT Win G03 Div 1 Red",""
